lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber
121.54032110689094,31.2917389831796,1844,杨浦区,延吉新村街道,[],[],靖宇东路
121.45126733609756,31.190966616585367,2050,徐汇区,枫林路街道,东安三村(零陵路),[],斜土路
121.59601095027027,31.08285464972973,925,浦东新区,航头镇,[],[],鹤沙路
121.31528654391218,31.294824688622754,994,嘉定区,南翔镇,[],[],德华路
121.25887999669422,31.107118092561983,605,松江区,泗泾镇,[],[],古楼公路
121.69257601396276,31.189951348404254,1504,浦东新区,川沙新镇,[],[],城南路
121.44711100664452,31.313378532115173,1806,静安区,彭浦新村街道,星纪花苑,[],安泽路
121.81851221641791,30.896700313432834,268,浦东新区,泥城镇,[],[],泥城路
121.37969389388071,31.115288606506585,1291,闵行区,莘庄镇,水清一村,[],庙泾路
121.36884135433071,30.849553,127,金山区,亭林镇,[],[],奉朱公路
121.54190291922455,31.164941246634356,1857,浦东新区,北蔡镇,[],[],下南路
121.46548713874874,31.25895025504541,3979,静安区,芷江西路街道,芷江西路123弄小区,[],普善路
121.23991613764511,31.397461202321725,603,嘉定区,菊园新区,[],[],胜竹路
121.5577176524364,31.243441350150928,2318,浦东新区,洋泾街道,[],建平中学,崮山路
121.77308480265654,31.047791339658446,527,浦东新区,惠南镇,[],[],人民东路
120.99707529591836,31.08461886734694,98,青浦区,金泽镇,[],[],[]
121.39002785306705,31.054192646219686,701,闵行区,颛桥镇,[],[],中春路
121.68740915418502,31.2625077753304,681,浦东新区,曹路镇,[],[],龚路支路
121.48498293110647,31.382079936325677,955,宝山区,友谊路街道,[],[],水产路
121.43159756778425,31.128218244169098,1372,闵行区,梅陇镇,[],[],兴南路
121.31488988075881,31.464218929539296,369,嘉定区,华亭镇,[],[],新川沙西路
121.3222376266549,31.23470637687555,1112,嘉定区,江桥镇,[],[],华江路
121.34939137149355,31.258787392721757,1346,嘉定区,江桥镇,[],[],曹安公路
121.20690658888888,31.185332583333334,540,青浦区,华新镇,[],[],花卉四路
121.45745966202783,31.043786063618292,503,闵行区,吴泾镇,[],[],景东路
121.49172999142573,31.22001493000997,5017,黄浦区,老西门街道,[],[],净土街
121.43328841683169,31.37295932871287,1010,宝山区,杨行镇,[],[],宝杨路
121.62746973116438,31.31093639212329,584,浦东新区,高东镇,[],[],英伦路
121.11434526229507,30.893880860655738,122,金山区,朱泾镇,[],[],[]
121.22686945454545,31.780623545454546,11,崇明区,绿华镇,[],[],宝财路
121.30616873950618,31.026115059259258,810,松江区,车墩镇,[],[],车新公路
121.63831458064516,31.557267193548387,62,崇明区,堡镇,[],[],堡镇北路
121.15117102013423,31.030896704697987,298,松江区,小昆山镇,[],[],文翔路
121.15816825257733,31.282843226804125,194,昆山市,花桥镇,[],[],墨玉南路
121.49616598462089,31.165616005007152,2796,浦东新区,三林镇,[],川杨河,上南路
121.40979219687875,31.294357524609843,833,宝山区,大场镇,[],[],真华路
121.56083298263135,31.188039222318714,2303,浦东新区,北蔡镇,世外桃源花园别墅小区,[],莲溪路
121.62529900814901,31.19191445983702,859,浦东新区,张江镇,[],[],张江路
121.57459669106464,31.34193480608365,1052,浦东新区,高桥镇,潼港二村,[],清溪路
121.76421698611111,31.106349416666667,360,浦东新区,祝桥镇,[],[],百熙路
