浦东新区,黄浦区,静安区,徐汇区,长宁区,普陀区,虹口区,杨浦区,宝山区,闵行区,嘉定区,金山区,松江区,青浦区,奉贤区,崇明区,date
8306.0,1035.0,518.0,1088,319,1006,667.0,618.0,651.0,2388,1402.0,76.0,779.0,466,278.0,63.0,2022年4月6日
8743.0,,359.0,2033,823,946,568.0,572.0,,2162,910.0,57.0,644.0,489,61.0,260.0,2022年4月7日
6938.0,,623.0,1515,594,1073,360.0,689.0,,2792,1389.0,45.0,663.0,318,85.0,167.0,2022年4月8日
10613.0,447.0,577.0,1106,731,629,337.0,1048.0,2225.0,4536,348.0,24.0,490.0,548,111.0,167.0,2022年4月9日
6520.0,1725.0,574.0,3157,382,994,1232.0,1816.0,1818.0,3087,1334.0,42.0,1534.0,876,27.0,55.0,2022年4月10日
7813.0,2106.0,532.0,1723,368,1841,1350.0,1390.0,977.0,2939,165.0,35.0,670.0,324,64.0,51.0,2022年4月11日
10857.0,1730.0,981.0,1052,1043,1120,848.0,1099.0,279.0,3965,944.0,36.0,635.0,463,32.0,57.0,2022年4月12日
13888.0,1181.0,171.0,1349,852,430,1367.0,1131.0,638.0,2567,667.0,22.0,526.0,220,81.0,56.0,2022年4月13日
10404.0,1745.0,196.0,1049,850,219,756.0,769.0,367.0,2104,603.0,5.0,583.0,176,15.0,31.0,2022年4月14日
9140.0,1138.0,341.0,1412,519,360,1210.0,1136.0,1249.0,1736,568.0,10.0,575.0,405,83.0,41.0,2022年4月15日
9789.0,1377.0,991.0,1362,579,1186,870.0,776.0,1242.0,2170,582.0,12.0,323.0,259,28.0,36.0,2022年4月16日
7219.0,1710.0,715.0,1386,677,895,900.0,861.0,1365.0,2296,622.0,,752.0,352,19.0,,2022年4月17日
7756.0,2961.0,807.0,504,487,350,859.0,417.0,827.0,1060,516.0,,571.0,180,,,2022年4月18日
4926.0,2716.0,1528.0,1464,565,428,605.0,,916.0,1213,639.0,8.0,267.0,317,,,2022年4月19日
3709.0,2845.0,966.0,1256,603,506,730.0,,726.0,1395,567.0,1.0,511.0,160,,,2022年4月20日
4246.0,1560.0,1914.0,1019,411,395,782.0,489.0,842.0,2410,696.0,,471.0,325,,,2022年4月21日
7257.0,2408.0,710.0,1152,549,452,569.0,1268.0,1854.0,1097,424.0,,,315,,,2022年4月22日
7085.0,1863.0,431.0,1631,658,439,737.0,1235.0,2751.0,769,678.0,,,398,15.0,,2022年4月23日
5307.0,1438.0,1560.0,1168,673,434,549.0,1160.0,2371.0,1086,469.0,68.0,382.0,243,7.0,,2022年4月24日
3620.0,2515.0,885.0,1132,437,371,1132.0,1179.0,1570.0,656,485.0,,533.0,335,9.0,,2022年4月25日
2539.0,927.0,1249.0,731,355,261,1099.0,1059.0,1681.0,678,345.0,,258.0,284,11.0,453.0,2022年4月26日
2459.0,1317.0,1057.0,340,189,277,1023.0,466.0,1063.0,270,279.0,,179.0,204,3.0,173.0,2022年4月27日
2016.0,1286.0,1015.0,1053,384,139,905.0,733.0,966.0,352,356.0,,150.0,132,,35.0,2022年4月28日
1897.0,1149.0,1143.0,388,319,86,993.0,740.0,1067.0,372,246.0,,110.0,110,25.0,269.0,2022年4月29日
1588.0,1046.0,886.0,352,141,87,544.0,320.0,1021.0,378,218.0,,76.0,107,,307.0,2022年4月30日
1520.0,984.0,632.0,371,210,83,600.0,432.0,889.0,357,254.0,,84.0,91,,75.0,2022年5月1日
1124.0,957.0,596.0,379,147,78,348.0,354.0,603.0,259,275.0,,39.0,84,10.0,135.0,2022年5月2日
834.0,912.0,548.0,337,96,54,347.0,394.0,586.0,237,171.0,,56.0,41,6.0,99.0,2022年5月3日
839.0,754.0,525.0,317,116,88,310.0,369.0,440.0,260,211.0,,37.0,66,,55.0,2022年5月4日
649.0,737.0,485.0,314,86,78,252.0,364.0,481.0,226,192.0,,45.0,56,11.0,47.0,2022年5月5日
551.0,567.0,468.0,311,64,72,262.0,395.0,481.0,281,198.0,,22.0,166,,99.0,2022年5月6日
647.0,575.0,,289,62,51,248.0,606.0,312.0,214,108.0,,26.0,31,11.0,51.0,2022年5月7日
,442.0,,284,70,44,263.0,558.0,307.0,216,109.0,,27.0,48,,13.0,2022年5月8日
568.0,378.0,371.0,107,52,43,238.0,355.0,137.0,315,131.0,,19.0,54,5.0,6.0,2022年5月9日
247.0,245.0,191.0,60,14,25,88.0,135.0,131.0,72,14.0,,13.0,16,,8.0,2022年5月10日
240.0,227.0,158.0,65,39,27,84.0,131.0,118.0,88,72.0,,10.0,34,,4.0,2022年5月11日
263.0,274.0,172.0,88,59,27,79.0,515.0,155.0,128,67.0,,15.0,19,,6.0,2022年5月12日
172.0,219.0,150.0,82,37,24,,397.0,145.0,117,37.0,,8.0,15,,3.0,2022年5月13日
137.0,168.0,116.0,87,48,26,,303.0,98.0,75,,16.0,6.0,26,,,2022年5月14日
