浦东新区,黄浦区,静安区,徐汇区,长宁区,普陀区,虹口区,杨浦区,宝山区,闵行区,嘉定区,金山区,松江区,青浦区,奉贤区,崇明区,date
151,9.0,27.0,19,31.0,27,1.0,12.0,9.0,21,6.0,3.0,2.0,4.0,,,2022年4月6日
307,,22.0,43,29.0,11,26.0,29.0,,95,23.0,72.0,,4.0,31.0,,2022年4月7日
348,,42.0,114,20.0,21,18.0,12.0,,62,116.0,45.0,,24.0,12.0,,2022年4月8日
517,101.0,25.0,44,26.0,24,12.0,32.0,36.0,88,21.0,44.0,10.0,9.0,13.0,4.0,2022年4月9日
212,36.0,29.0,46,5.0,7,6.0,61.0,21.0,102,71.0,15.0,,1.0,11.0,,2022年4月10日
493,117.0,20.0,48,25.0,37,25.0,30.0,47.0,68,43.0,3.0,,7.0,4.0,6.0,2022年4月11日
192,74.0,75.0,56,90.0,50,83.0,60.0,16.0,280,42.0,3.0,77.0,61.0,1.0,29.0,2022年4月12日
1139,227.0,49.0,143,105.0,45,121.0,54.0,13.0,372,54.0,12.0,,99.0,2.0,,2022年4月13日
1252,268.0,70.0,293,148.0,45,174.0,48.0,50.0,274,200.0,23.0,,128.0,20.0,,2022年4月14日
1142,246.0,92.0,277,233.0,66,287.0,275.0,74.0,301,173.0,21.0,198.0,131.0,23.0,51.0,2022年4月15日
1002,188.0,143.0,170,127.0,145,157.0,84.0,51.0,890,103.0,9.0,,46.0,23.0,,2022年4月16日
521,186.0,127.0,167,62.0,330,266.0,26.0,85.0,106,356.0,,,17.0,1.0,,2022年4月17日
1075,362.0,203.0,68,193.0,21,233.0,64.0,203.0,312,72.0,,191.0,77.0,,,2022年4月18日
720,368.0,205.0,144,53.0,100,148.0,,41.0,389,104.0,1.0,58.0,72.0,,,2022年4月19日
756,252.0,164.0,191,123.0,49,102.0,,107.0,291,82.0,16.0,165.0,120.0,,,2022年4月20日
409,192.0,150.0,347,85.0,94,103.0,54.0,136.0,153,80.0,,22.0,60.0,,,2022年4月21日
704,435.0,76.0,123,164.0,71,428.0,88.0,179.0,208,76.0,,,44.0,,,2022年4月22日
541,96.0,40.0,91,69.0,39,82.0,42.0,135.0,108,73.0,,,26.0,1.0,,2022年4月23日
874,317.0,142.0,228,76.0,43,106.0,75.0,135.0,143,132.0,,166.0,8.0,,,2022年4月24日
292,156.0,131.0,209,97.0,47,138.0,65.0,216.0,61,58.0,,108.0,44.0,,,2022年4月25日
206,301.0,145.0,173,64.0,104,37.0,47.0,295.0,71,89.0,,29.0,27.0,,,2022年4月26日
534,135.0,32.0,212,19.0,24,68.0,60.0,52.0,51,13.0,,52.0,4.0,,26.0,2022年4月27日
1456,1370.0,349.0,527,263.0,96,469.0,75.0,277.0,70,132.0,,252.0,137.0,,3.0,2022年4月28日
131,250.0,124.0,214,58.0,55,22.0,27.0,130.0,144,22.0,,24.0,46.0,1.0,,2022年4月29日
37,110.0,110.0,136,40.0,27,47.0,22.0,112.0,53,41.0,,29.0,21.0,,1.0,2022年4月30日
132,128.0,70.0,71,33.0,12,69.0,35.0,94.0,29,14.0,,12.0,24.0,,1.0,2022年5月1日
38,17.0,20.0,38,4.0,1,18.0,34.0,33.0,28,4.0,,29.0,10.0,,,2022年5月2日
49,27.0,17.0,26,6.0,8,11.0,27.0,34.0,15,4.0,,34.0,2.0,,,2022年5月3日
50,21.0,20.0,13,5.0,3,16.0,24.0,19.0,25,4.0,,55.0,4.0,,,2022年5月4日
28,35.0,30.0,9,1.0,1,15.0,47.0,19.0,9,9.0,,38.0,,,,2022年5月5日
33,60.0,16.0,19,7.0,5,17.0,30.0,21.0,28,3.0,,5.0,3.0,,1.0,2022年5月6日
28,37.0,,10,3.0,5,24.0,7.0,33.0,13,11.0,,22.0,3.0,,,2022年5月7日
34,60.0,,22,7.0,5,54.0,18.0,25.0,9,27.0,,13.0,1.0,,3.0,2022年5月8日
20,36.0,22.0,21,1.0,7,31.0,28.0,25.0,13,17.0,,7.0,2.0,1.0,3.0,2022年5月9日
16,19.0,28.0,23,2.0,5,48.0,32.0,11.0,7,20.0,,6.0,11.0,,,2022年5月10日
10,19.0,12.0,9,1.0,2,18.0,34.0,11.0,3,18.0,,4.0,3.0,,,2022年5月11日
17,23.0,35.0,5,,2,24.0,34.0,19.0,15,42.0,,7.0,1.0,,3.0,2022年5月12日
15,24.0,34.0,23,,4,,18.0,9.0,12,26.0,,3.0,9.0,,,2022年5月13日
13,18.0,,2,2.0,2,,18.0,19.0,6,,,,2.0,,,2022年5月14日
